
2026-04-06 23:06:17,377|0.0.0.0 | SYSTEM_READY | AI_V8_ACTIVE
2026-04-06 23:06:53,301|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,336|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,399|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,527|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,551|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,603|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,652|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,700|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,808|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:53,922|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:55,449|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:55,491|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:55,688|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:55,808|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:55,917|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:55,983|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:56,040|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:56,147|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:56,277|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:56,518|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,172|5.45.143.145 | SAFE_TRAFFIC | ALLOW
2026-04-06 23:06:58,235|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,252|5.45.143.145 | SAFE_TRAFFIC | ALLOW
2026-04-06 23:06:58,364|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,440|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,527|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,531|5.45.143.145 | SAFE_TRAFFIC | ALLOW
2026-04-06 23:06:58,651|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,680|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,752|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,785|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,831|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:58,836|5.45.143.145 | SAFE_TRAFFIC | ALLOW
2026-04-06 23:06:58,952|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:59,062|5.45.143.145 | DDOS_ATTACK | BLOCK
2026-04-06 23:06:59,074|5.45.143.145 | SAFE_TRAFFIC | ALLOW
